"site","year","species","abund"
"1996_4_control_summer",1996,"pani hirt",2
"1996_4_control_summer",1996,"tide lanu",4
"1996_5_removal_summer",1996,"bout aris",131
"1996_5_removal_summer",1996,"bout barb",42
"1996_5_removal_summer",1996,"euph serp",2
"1996_5_removal_summer",1996,"euph serr",1
"1996_5_removal_summer",1996,"kall gran",1
"1996_5_removal_summer",1996,"mach tanr",2
"1996_5_removal_summer",1996,"tide lanu",4
"1996_6_exclosure_summer",1996,"boer coul",1
"1996_6_exclosure_summer",1996,"boer inte",1
"1996_6_exclosure_summer",1996,"bout aris",7
"1996_6_exclosure_summer",1996,"bout barb",9
"1996_6_exclosure_summer",1996,"kall gran",1
"1996_6_exclosure_summer",1996,"pani hirt",4
"1996_6_exclosure_summer",1996,"tide lanu",5
"1996_7_removal_summer",1996,"bout aris",3
"1996_7_removal_summer",1996,"bout barb",1
"1996_7_removal_summer",1996,"euph serp",1
"1996_8_control_summer",1996,"boer coul",9
"1996_8_control_summer",1996,"boer inte",19
"1996_8_control_summer",1996,"bout aris",116
"1996_8_control_summer",1996,"bout barb",100
"1996_8_control_summer",1996,"euph serp",2
"1996_8_control_summer",1996,"pani hirt",1
"1996_8_control_summer",1996,"pect papp",7
"1996_8_control_summer",1996,"tide lanu",3
"1996_10_removal_summer",1996,"boer coul",6
"1996_10_removal_summer",1996,"boer inte",21
"1996_10_removal_summer",1996,"bout aris",35
"1996_10_removal_summer",1996,"bout barb",67
"1996_10_removal_summer",1996,"dale brac",41
"1996_10_removal_summer",1996,"euph serp",55
"1996_10_removal_summer",1996,"tide lanu",1
"1996_11_control_summer",1996,"bahi bite",2
"1996_11_control_summer",1996,"boer inte",6
"1996_11_control_summer",1996,"bout aris",17
"1996_11_control_summer",1996,"bout barb",5
"1996_11_control_summer",1996,"dale brac",1
"1996_11_control_summer",1996,"euph serp",3
"1996_11_control_summer",1996,"pani hirt",3
"1996_11_control_summer",1996,"tide lanu",4
"1996_12_control_summer",1996,"amar palm",1
"1996_12_control_summer",1996,"ambr arte",4
"1996_12_control_summer",1996,"boer coul",18
"1996_12_control_summer",1996,"boer inte",47
"1996_12_control_summer",1996,"bout aris",16
"1996_12_control_summer",1996,"bout barb",29
"1996_12_control_summer",1996,"euph serp",40
"1996_12_control_summer",1996,"pect papp",2
"1996_13_exclosure_summer",1996,"ambr arte",1
"1996_13_exclosure_summer",1996,"boer coul",2
"1996_13_exclosure_summer",1996,"boer inte",50
"1996_13_exclosure_summer",1996,"bout aris",5
"1996_13_exclosure_summer",1996,"bout barb",26
"1996_13_exclosure_summer",1996,"pani hirt",1
"1996_13_exclosure_summer",1996,"tide lanu",1
"1996_14_control_summer",1996,"boer inte",3
"1996_14_control_summer",1996,"bout aris",21
"1996_14_control_summer",1996,"bout barb",24
"1996_14_control_summer",1996,"euph micr",3
"1996_14_control_summer",1996,"mach tanr",1
"1996_14_control_summer",1996,"pani hirt",3
"1996_14_control_summer",1996,"pect papp",1
"1996_14_control_summer",1996,"tide lanu",1
"1996_15_exclosure_summer",1996,"boer inte",6
"1996_15_exclosure_summer",1996,"bout aris",15
"1996_15_exclosure_summer",1996,"bout barb",15
"1996_15_exclosure_summer",1996,"euph serp",1
"1996_15_exclosure_summer",1996,"pani hirt",4
"1996_15_exclosure_summer",1996,"tide lanu",3
"1996_16_removal_summer",1996,"boer inte",128
"1996_16_removal_summer",1996,"bout aris",210
"1996_16_removal_summer",1996,"bout barb",21
"1996_16_removal_summer",1996,"pani hirt",4
"1996_16_removal_summer",1996,"tide lanu",2
"1996_17_control_summer",1996,"boer coul",1
"1996_17_control_summer",1996,"boer inte",6
"1996_17_control_summer",1996,"bout aris",101
"1996_17_control_summer",1996,"bout barb",70
"1996_17_control_summer",1996,"euph serp",23
"1996_17_control_summer",1996,"pect papp",1
"1996_17_control_summer",1996,"tide lanu",1
"1996_18_exclosure_summer",1996,"boer inte",97
"1996_18_exclosure_summer",1996,"bout aris",29
"1996_18_exclosure_summer",1996,"bout barb",11
"1996_18_exclosure_summer",1996,"kall gran",1
"1996_18_exclosure_summer",1996,"pani hirt",1
"1996_18_exclosure_summer",1996,"pani mili",1
"1996_18_exclosure_summer",1996,"sida spin",2
"1996_19_exclosure_summer",1996,"boer coul",1
"1996_19_exclosure_summer",1996,"boer inte",145
"1996_19_exclosure_summer",1996,"bout aris",29
"1996_19_exclosure_summer",1996,"bout barb",28
"1996_19_exclosure_summer",1996,"crot pumi",1
"1996_19_exclosure_summer",1996,"euph serr",11
"1996_19_exclosure_summer",1996,"pani hirt",1
"1996_19_exclosure_summer",1996,"tide lanu",2
"1996_20_exclosure_summer",1996,"boer inte",167
"1996_20_exclosure_summer",1996,"bout aris",59
"1996_20_exclosure_summer",1996,"bout barb",163
"1996_20_exclosure_summer",1996,"pani hirt",1
"1996_20_exclosure_summer",1996,"tide lanu",2
"1996_21_exclosure_summer",1996,"boer inte",73
"1996_21_exclosure_summer",1996,"bout aris",44
"1996_21_exclosure_summer",1996,"bout barb",13
"1996_21_exclosure_summer",1996,"euph serp",1
"1996_21_exclosure_summer",1996,"kall gran",2
"1996_21_exclosure_summer",1996,"pani hirt",5
"1996_21_exclosure_summer",1996,"tide lanu",6
"1996_22_control_summer",1996,"boer inte",82
"1996_22_control_summer",1996,"bout aris",109
"1996_22_control_summer",1996,"bout barb",12
"1996_22_control_summer",1996,"crot pumi",3
"1996_22_control_summer",1996,"dale brac",4
"1996_22_control_summer",1996,"euph serp",3
"1996_22_control_summer",1996,"pani hirt",12
"1996_22_control_summer",1996,"sida spin",3
"1996_22_control_summer",1996,"tide lanu",5
"1996_23_removal_summer",1996,"boer coul",17
"1996_23_removal_summer",1996,"boer inte",105
"1996_23_removal_summer",1996,"bout aris",75
"1996_23_removal_summer",1996,"bout barb",30
"1996_23_removal_summer",1996,"dale brac",7
"1996_23_removal_summer",1996,"euph serp",20
"1996_23_removal_summer",1996,"sida spin",1
"1996_23_removal_summer",1996,"tide lanu",2
"1996_24_removal_summer",1996,"ambr arte",3
"1996_24_removal_summer",1996,"boer coul",1
"1996_24_removal_summer",1996,"boer inte",11
"1996_24_removal_summer",1996,"bout aris",20
"1996_24_removal_summer",1996,"bout barb",2
"1996_24_removal_summer",1996,"tide lanu",2
"1996_5_removal_summer",1996,"bail mult",1
"1996_21_exclosure_summer",1996,"erio aber",13
"1997_2_control_summer",1997,"amar palm",7
"1997_2_control_summer",1997,"ambr arte",3
"1997_2_control_summer",1997,"aris adsc",22
"1997_2_control_summer",1997,"boer inte",10
"1997_2_control_summer",1997,"boer torr",9
"1997_2_control_summer",1997,"bout aris",508
"1997_2_control_summer",1997,"chen frem",3
"1997_2_control_summer",1997,"crot pumi",4
"1997_2_control_summer",1997,"dale brac",1
"1997_2_control_summer",1997,"erio aber",54
"1997_2_control_summer",1997,"euph serp",1
"1997_2_control_summer",1997,"hapl grac",2
"1997_2_control_summer",1997,"pani hirt",2
"1997_2_control_summer",1997,"tide lanu",1
"1997_3_exclosure_summer",1997,"aris adsc",165
"1997_3_exclosure_summer",1997,"boer inte",46
"1997_3_exclosure_summer",1997,"boer torr",1
"1997_3_exclosure_summer",1997,"chen frem",1
"1997_3_exclosure_summer",1997,"dale brac",1
"1997_3_exclosure_summer",1997,"erio aber",19
"1997_3_exclosure_summer",1997,"euph micr",2
"1997_3_exclosure_summer",1997,"euph serp",20
"1997_3_exclosure_summer",1997,"euph serr",1
"1997_3_exclosure_summer",1997,"hapl grac",7
"1997_3_exclosure_summer",1997,"pani hirt",6
"1997_3_exclosure_summer",1997,"pect papp",8
"1997_3_exclosure_summer",1997,"tide lanu",1
"1997_4_control_summer",1997,"aris adsc",151
"1997_4_control_summer",1997,"boer inte",26
"1997_4_control_summer",1997,"bout aris",1
"1997_4_control_summer",1997,"bout barb",1
"1997_4_control_summer",1997,"crot pumi",1
"1997_4_control_summer",1997,"erio aber",79
"1997_4_control_summer",1997,"euph serp",54
"1997_4_control_summer",1997,"euph serr",1
"1997_4_control_summer",1997,"pani hirt",8
"1997_4_control_summer",1997,"tide lanu",24
"1997_5_removal_summer",1997,"aris adsc",234
"1997_5_removal_summer",1997,"boer inte",5
"1997_5_removal_summer",1997,"boer torr",3
"1997_5_removal_summer",1997,"bout aris",1
"1997_5_removal_summer",1997,"crot pumi",1
"1997_5_removal_summer",1997,"erio aber",52
"1997_5_removal_summer",1997,"euph serp",13
"1997_5_removal_summer",1997,"euph serr",13
"1997_5_removal_summer",1997,"hapl grac",5
"1997_5_removal_summer",1997,"ipom cost",1
"1997_5_removal_summer",1997,"pani hirt",8
"1997_5_removal_summer",1997,"pect papp",2
"1997_5_removal_summer",1997,"tide lanu",10
"1997_6_exclosure_summer",1997,"aris adsc",159
"1997_6_exclosure_summer",1997,"bout aris",1
"1997_6_exclosure_summer",1997,"erio aber",25
"1997_6_exclosure_summer",1997,"euph serp",5
"1997_6_exclosure_summer",1997,"euph serr",1
"1997_6_exclosure_summer",1997,"hapl grac",7
"1997_6_exclosure_summer",1997,"pani hirt",11
"1997_6_exclosure_summer",1997,"pect papp",5
"1997_6_exclosure_summer",1997,"tide lanu",40
"1997_7_removal_summer",1997,"aris adsc",3
"1997_7_removal_summer",1997,"crot pumi",2
"1997_7_removal_summer",1997,"dale brac",8
"1997_7_removal_summer",1997,"erio aber",24
"1997_7_removal_summer",1997,"euph serp",1
"1997_7_removal_summer",1997,"euph serr",2
"1997_7_removal_summer",1997,"hapl grac",2
"1997_7_removal_summer",1997,"tide lanu",6
"1997_8_control_summer",1997,"aris adsc",126
"1997_8_control_summer",1997,"bail mult",1
"1997_8_control_summer",1997,"boer inte",5
"1997_8_control_summer",1997,"boer torr",8
"1997_8_control_summer",1997,"bout aris",5
"1997_8_control_summer",1997,"bout barb",1
"1997_8_control_summer",1997,"crot pumi",5
"1997_8_control_summer",1997,"erio aber",87
"1997_8_control_summer",1997,"euph micr",7
"1997_8_control_summer",1997,"euph serp",41
"1997_8_control_summer",1997,"euph serr",2
"1997_8_control_summer",1997,"hapl grac",17
"1997_8_control_summer",1997,"kall gran",1
"1997_8_control_summer",1997,"moll cerv",1
"1997_8_control_summer",1997,"pani hirt",1
"1997_8_control_summer",1997,"pect papp",23
"1997_8_control_summer",1997,"tide lanu",18
"1997_10_removal_summer",1997,"aris adsc",284
"1997_10_removal_summer",1997,"boer inte",23
"1997_10_removal_summer",1997,"bout aris",15
"1997_10_removal_summer",1997,"bout barb",4
"1997_10_removal_summer",1997,"crot pumi",7
"1997_10_removal_summer",1997,"dale brac",19
"1997_10_removal_summer",1997,"erio aber",59
"1997_10_removal_summer",1997,"euph micr",12
"1997_10_removal_summer",1997,"euph serp",65
"1997_10_removal_summer",1997,"euph serr",1
"1997_10_removal_summer",1997,"hapl grac",3
"1997_10_removal_summer",1997,"pani hirt",4
"1997_10_removal_summer",1997,"pect papp",5
"1997_10_removal_summer",1997,"tide lanu",34
"1997_11_control_summer",1997,"aris adsc",13
"1997_11_control_summer",1997,"boer inte",5
"1997_11_control_summer",1997,"crot pumi",23
"1997_11_control_summer",1997,"erio aber",47
"1997_11_control_summer",1997,"euph micr",1
"1997_11_control_summer",1997,"euph serp",9
"1997_11_control_summer",1997,"euph serr",3
"1997_11_control_summer",1997,"hapl grac",15
"1997_11_control_summer",1997,"mach tanr",1
"1997_11_control_summer",1997,"pani hirt",3
"1997_11_control_summer",1997,"pect papp",5
"1997_11_control_summer",1997,"tide lanu",5
"1997_12_control_summer",1997,"amar palm",5
"1997_12_control_summer",1997,"aris adsc",31
"1997_12_control_summer",1997,"boer inte",32
"1997_12_control_summer",1997,"boer torr",31
"1997_12_control_summer",1997,"bout aris",13
"1997_12_control_summer",1997,"bout barb",3
"1997_12_control_summer",1997,"crot pumi",2
"1997_12_control_summer",1997,"erio aber",48
"1997_12_control_summer",1997,"euph serp",32
"1997_12_control_summer",1997,"hapl grac",5
"1997_12_control_summer",1997,"pani hirt",1
"1997_12_control_summer",1997,"pect papp",14
"1997_12_control_summer",1997,"tide lanu",2
"1997_13_exclosure_summer",1997,"aris adsc",151
"1997_13_exclosure_summer",1997,"boer inte",6
"1997_13_exclosure_summer",1997,"bout aris",5
"1997_13_exclosure_summer",1997,"bout barb",2
"1997_13_exclosure_summer",1997,"crot pumi",2
"1997_13_exclosure_summer",1997,"erio aber",26
"1997_13_exclosure_summer",1997,"euph serp",5
"1997_13_exclosure_summer",1997,"hapl grac",6
"1997_13_exclosure_summer",1997,"ipom cost",6
"1997_13_exclosure_summer",1997,"pani hirt",2
"1997_13_exclosure_summer",1997,"pect papp",1
"1997_13_exclosure_summer",1997,"tide lanu",11
"1997_14_control_summer",1997,"aris adsc",22
"1997_14_control_summer",1997,"bout aris",1
"1997_14_control_summer",1997,"erio aber",48
"1997_14_control_summer",1997,"euph micr",2
"1997_14_control_summer",1997,"euph serp",15
"1997_14_control_summer",1997,"euph serr",5
"1997_14_control_summer",1997,"hapl grac",6
"1997_14_control_summer",1997,"pani hirt",5
"1997_14_control_summer",1997,"tide lanu",8
"1997_15_exclosure_summer",1997,"aris adsc",76
"1997_15_exclosure_summer",1997,"boer inte",13
"1997_15_exclosure_summer",1997,"boer torr",3
"1997_15_exclosure_summer",1997,"erio aber",50
"1997_15_exclosure_summer",1997,"euph serp",17
"1997_15_exclosure_summer",1997,"euph serr",2
"1997_15_exclosure_summer",1997,"hapl grac",1
"1997_15_exclosure_summer",1997,"pani hirt",17
"1997_15_exclosure_summer",1997,"pect papp",8
"1997_15_exclosure_summer",1997,"tide lanu",6
"1997_16_removal_summer",1997,"aris adsc",232
"1997_16_removal_summer",1997,"boer inte",25
"1997_16_removal_summer",1997,"boer torr",16
"1997_16_removal_summer",1997,"bout aris",72
"1997_16_removal_summer",1997,"bout barb",11
"1997_16_removal_summer",1997,"dale brac",7
"1997_16_removal_summer",1997,"erio aber",18
"1997_16_removal_summer",1997,"euph exst",3
"1997_16_removal_summer",1997,"euph micr",2
"1997_16_removal_summer",1997,"euph serp",2
"1997_16_removal_summer",1997,"euph serr",14
"1997_16_removal_summer",1997,"hapl grac",2
"1997_16_removal_summer",1997,"pani hirt",3
"1997_16_removal_summer",1997,"pect papp",12
"1997_16_removal_summer",1997,"tide lanu",20
"1997_16_removal_summer",1997,"tria port",2
"1997_17_control_summer",1997,"aris adsc",19
"1997_17_control_summer",1997,"boer inte",4
"1997_17_control_summer",1997,"boer torr",1
"1997_17_control_summer",1997,"bout aris",13
"1997_17_control_summer",1997,"bout barb",3
"1997_17_control_summer",1997,"crot pumi",4
"1997_17_control_summer",1997,"erio aber",67
"1997_17_control_summer",1997,"euph serp",23
"1997_17_control_summer",1997,"hapl grac",3
"1997_17_control_summer",1997,"tide lanu",6
"1997_18_exclosure_summer",1997,"aris adsc",270
"1997_18_exclosure_summer",1997,"boer inte",66
"1997_18_exclosure_summer",1997,"bout aris",8
"1997_18_exclosure_summer",1997,"crot pumi",1
"1997_18_exclosure_summer",1997,"erio aber",27
"1997_18_exclosure_summer",1997,"euph serp",3
"1997_18_exclosure_summer",1997,"euph serr",1
"1997_18_exclosure_summer",1997,"hapl grac",13
"1997_18_exclosure_summer",1997,"kall gran",2
"1997_18_exclosure_summer",1997,"pani hirt",7
"1997_18_exclosure_summer",1997,"tide lanu",2
"1997_19_exclosure_summer",1997,"aris adsc",226
"1997_19_exclosure_summer",1997,"boer inte",4
"1997_19_exclosure_summer",1997,"bout aris",13
"1997_19_exclosure_summer",1997,"bout barb",2
"1997_19_exclosure_summer",1997,"crot pumi",8
"1997_19_exclosure_summer",1997,"erio aber",39
"1997_19_exclosure_summer",1997,"euph micr",1
"1997_19_exclosure_summer",1997,"euph serp",5
"1997_19_exclosure_summer",1997,"euph serr",2
"1997_19_exclosure_summer",1997,"hapl grac",7
"1997_19_exclosure_summer",1997,"mach tanr",4
"1997_19_exclosure_summer",1997,"pani hirt",10
"1997_19_exclosure_summer",1997,"tide lanu",2
"1997_20_exclosure_summer",1997,"aris adsc",132
"1997_20_exclosure_summer",1997,"boer inte",26
"1997_20_exclosure_summer",1997,"bout aris",7
"1997_20_exclosure_summer",1997,"bout barb",8
"1997_20_exclosure_summer",1997,"crot pumi",2
"1997_20_exclosure_summer",1997,"erio aber",78
"1997_20_exclosure_summer",1997,"euph serp",6
"1997_20_exclosure_summer",1997,"hapl grac",24
"1997_20_exclosure_summer",1997,"pani hirt",3
"1997_20_exclosure_summer",1997,"tide lanu",10
"1997_21_exclosure_summer",1997,"aris adsc",586
"1997_21_exclosure_summer",1997,"boer inte",43
"1997_21_exclosure_summer",1997,"bout aris",14
"1997_21_exclosure_summer",1997,"bout barb",1
"1997_21_exclosure_summer",1997,"erio aber",26
"1997_21_exclosure_summer",1997,"euph exst",1
"1997_21_exclosure_summer",1997,"euph serp",1
"1997_21_exclosure_summer",1997,"euph serr",3
"1997_21_exclosure_summer",1997,"hapl grac",28
"1997_21_exclosure_summer",1997,"kall gran",1
"1997_21_exclosure_summer",1997,"moll cerv",108
"1997_21_exclosure_summer",1997,"pani hirt",3
"1997_21_exclosure_summer",1997,"tide lanu",21
"1997_22_control_summer",1997,"aris adsc",310
"1997_22_control_summer",1997,"boer inte",18
"1997_22_control_summer",1997,"bout aris",7
"1997_22_control_summer",1997,"crot pumi",8
"1997_22_control_summer",1997,"erio aber",60
"1997_22_control_summer",1997,"euph exst",1
"1997_22_control_summer",1997,"euph micr",2
"1997_22_control_summer",1997,"euph serp",1
"1997_22_control_summer",1997,"hapl grac",9
"1997_22_control_summer",1997,"mach tanr",3
"1997_22_control_summer",1997,"pani hirt",21
"1997_22_control_summer",1997,"tide lanu",18
"1997_23_removal_summer",1997,"aris adsc",618
"1997_23_removal_summer",1997,"boer inte",133
"1997_23_removal_summer",1997,"bout aris",13
"1997_23_removal_summer",1997,"bout barb",2
"1997_23_removal_summer",1997,"crot pumi",7
"1997_23_removal_summer",1997,"dale brac",1
"1997_23_removal_summer",1997,"erio aber",34
"1997_23_removal_summer",1997,"euph serp",6
"1997_23_removal_summer",1997,"hapl grac",3
"1997_23_removal_summer",1997,"kall gran",2
"1997_23_removal_summer",1997,"mach tanr",5
"1997_23_removal_summer",1997,"pani hirt",11
"1997_23_removal_summer",1997,"tide lanu",4
"1997_24_removal_summer",1997,"ambr arte",6
"1997_24_removal_summer",1997,"aris adsc",48
"1997_24_removal_summer",1997,"boer inte",29
"1997_24_removal_summer",1997,"boer torr",3
"1997_24_removal_summer",1997,"bout aris",2
"1997_24_removal_summer",1997,"crot pumi",1
"1997_24_removal_summer",1997,"erio aber",50
"1997_24_removal_summer",1997,"euph micr",1
"1997_24_removal_summer",1997,"euph serp",3
"1997_24_removal_summer",1997,"hapl grac",3
"1997_24_removal_summer",1997,"pani hirt",1
"1997_24_removal_summer",1997,"tide lanu",12
"1997_2_control_summer",1997,"ambr arte",1
"1997_2_control_summer",1997,"erio aber",74
"1997_2_control_summer",1997,"erod cicu",240
"1997_2_control_summer",1997,"hapl grac",3
"1997_3_exclosure_summer",1997,"bail mult",1
"1997_3_exclosure_summer",1997,"chen frem",1
"1997_3_exclosure_summer",1997,"erio aber",135
"1997_3_exclosure_summer",1997,"erod cicu",450
"1997_3_exclosure_summer",1997,"hapl grac",81
"1997_4_control_summer",1997,"chen frem",4
"1997_4_control_summer",1997,"erio aber",397
"1997_4_control_summer",1997,"erod cicu",16
"1997_4_control_summer",1997,"hapl grac",31
"1997_5_removal_summer",1997,"bail mult",2
"1997_5_removal_summer",1997,"chen frem",3
"1997_5_removal_summer",1997,"erio aber",127
"1997_5_removal_summer",1997,"erod cicu",132
"1997_5_removal_summer",1997,"hapl grac",224
"1997_6_exclosure_summer",1997,"bail mult",4
"1997_6_exclosure_summer",1997,"chen frem",2
"1997_6_exclosure_summer",1997,"erio aber",244
"1997_6_exclosure_summer",1997,"erod cicu",78
"1997_6_exclosure_summer",1997,"hapl grac",259
"1997_7_removal_summer",1997,"erio aber",110
"1997_7_removal_summer",1997,"erod cicu",1101
"1997_7_removal_summer",1997,"hapl grac",25
"1997_8_control_summer",1997,"bail mult",6
"1997_8_control_summer",1997,"erio aber",248
"1997_8_control_summer",1997,"erod cicu",462
"1997_8_control_summer",1997,"hapl grac",188
"1997_10_removal_summer",1997,"ambr arte",1
"1997_10_removal_summer",1997,"bail mult",1
"1997_10_removal_summer",1997,"erig dive",6
"1997_10_removal_summer",1997,"erio aber",315
"1997_10_removal_summer",1997,"erod cicu",501
"1997_10_removal_summer",1997,"hapl grac",40
"1997_11_control_summer",1997,"bail mult",1
"1997_11_control_summer",1997,"erio aber",72
"1997_11_control_summer",1997,"erod cicu",54
"1997_11_control_summer",1997,"hapl grac",155
"1997_12_control_summer",1997,"ambr arte",10
"1997_12_control_summer",1997,"erio aber",147
"1997_12_control_summer",1997,"erod cicu",99
"1997_12_control_summer",1997,"hapl grac",50
"1997_13_exclosure_summer",1997,"ambr arte",4
"1997_13_exclosure_summer",1997,"bail mult",6
"1997_13_exclosure_summer",1997,"erio aber",419
"1997_13_exclosure_summer",1997,"erod cicu",281
"1997_13_exclosure_summer",1997,"hapl grac",147
"1997_14_control_summer",1997,"bail mult",3
"1997_14_control_summer",1997,"chen frem",1
"1997_14_control_summer",1997,"erio aber",86
"1997_14_control_summer",1997,"erod cicu",8
"1997_14_control_summer",1997,"hapl grac",77
"1997_15_exclosure_summer",1997,"bail mult",1
"1997_15_exclosure_summer",1997,"chen frem",1
"1997_15_exclosure_summer",1997,"erio aber",144
"1997_15_exclosure_summer",1997,"erod cicu",10
"1997_15_exclosure_summer",1997,"hapl grac",16
"1997_16_removal_summer",1997,"bail mult",1
"1997_16_removal_summer",1997,"erio aber",74
"1997_16_removal_summer",1997,"erod cicu",1238
"1997_16_removal_summer",1997,"hapl grac",54
"1997_17_control_summer",1997,"bail mult",1
"1997_17_control_summer",1997,"chen frem",3
"1997_17_control_summer",1997,"erio aber",169
"1997_17_control_summer",1997,"erod cicu",23
"1997_17_control_summer",1997,"hapl grac",160
"1997_18_exclosure_summer",1997,"bail mult",3
"1997_18_exclosure_summer",1997,"erio aber",114
"1997_18_exclosure_summer",1997,"erod cicu",405
"1997_18_exclosure_summer",1997,"hapl grac",90
"1997_19_exclosure_summer",1997,"erio aber",142
"1997_19_exclosure_summer",1997,"erod cicu",1058
"1997_19_exclosure_summer",1997,"hapl grac",99
"1997_20_exclosure_summer",1997,"bail mult",2
"1997_20_exclosure_summer",1997,"erio aber",190
"1997_20_exclosure_summer",1997,"erod cicu",34
"1997_20_exclosure_summer",1997,"hapl grac",296
"1997_21_exclosure_summer",1997,"bail mult",1
"1997_21_exclosure_summer",1997,"chen frem",1
"1997_21_exclosure_summer",1997,"erio aber",31
"1997_21_exclosure_summer",1997,"erod cicu",291
"1997_21_exclosure_summer",1997,"hapl grac",93
"1997_22_control_summer",1997,"bail mult",1
"1997_22_control_summer",1997,"erig dive",1
"1997_22_control_summer",1997,"erio aber",172
"1997_22_control_summer",1997,"erod cicu",112
"1997_22_control_summer",1997,"hapl grac",61
"1997_23_removal_summer",1997,"erio aber",43
"1997_23_removal_summer",1997,"erod cicu",579
"1997_23_removal_summer",1997,"hapl grac",31
"1997_24_removal_summer",1997,"ambr arte",8
"1997_24_removal_summer",1997,"bail mult",2
"1997_24_removal_summer",1997,"erio aber",209
"1997_24_removal_summer",1997,"erod cicu",45
"1997_24_removal_summer",1997,"hapl grac",84
"1998_2_control_summer",1998,"amar palm",2
"1998_2_control_summer",1998,"ambr arte",2
"1998_2_control_summer",1998,"aris adsc",1
"1998_2_control_summer",1998,"boer inte",18
"1998_2_control_summer",1998,"boer torr",4
"1998_2_control_summer",1998,"crot pumi",2
"1998_2_control_summer",1998,"dale brac",5
"1998_2_control_summer",1998,"erio aber",30
"1998_2_control_summer",1998,"kall gran",1
"1998_2_control_summer",1998,"moll vert",3
"1998_2_control_summer",1998,"pani ariz",22
"1998_2_control_summer",1998,"sida spin",1
"1998_2_control_summer",1998,"tide lanu",2
"1998_3_exclosure_summer",1998,"boer inte",12
"1998_3_exclosure_summer",1998,"boer torr",3
"1998_3_exclosure_summer",1998,"bout aris",2
"1998_3_exclosure_summer",1998,"bout barb",1
"1998_3_exclosure_summer",1998,"dale brac",29
"1998_3_exclosure_summer",1998,"erio aber",24
"1998_3_exclosure_summer",1998,"euph serp",1
"1998_3_exclosure_summer",1998,"tide lanu",3
"1998_4_control_summer",1998,"boer inte",3
"1998_4_control_summer",1998,"boer torr",1
"1998_4_control_summer",1998,"bout aris",1
"1998_4_control_summer",1998,"bout barb",1
"1998_4_control_summer",1998,"dale brac",4
"1998_4_control_summer",1998,"erio aber",77
"1998_4_control_summer",1998,"euph serp",2
"1998_4_control_summer",1998,"pani ariz",2
"1998_4_control_summer",1998,"tide lanu",7
"1998_5_removal_summer",1998,"aris adsc",2
"1998_5_removal_summer",1998,"boer torr",5
"1998_5_removal_summer",1998,"bout aris",10
"1998_5_removal_summer",1998,"bout barb",1
"1998_5_removal_summer",1998,"chen frem",8
"1998_5_removal_summer",1998,"dale brac",3
"1998_5_removal_summer",1998,"erio aber",27
"1998_5_removal_summer",1998,"euph serp",1
"1998_5_removal_summer",1998,"euph serr",1
"1998_6_exclosure_summer",1998,"aris adsc",2
"1998_6_exclosure_summer",1998,"boer inte",1
"1998_6_exclosure_summer",1998,"boer torr",7
"1998_6_exclosure_summer",1998,"bout aris",1
"1998_6_exclosure_summer",1998,"chen frem",1
"1998_6_exclosure_summer",1998,"dale brac",1
"1998_6_exclosure_summer",1998,"erio aber",6
"1998_6_exclosure_summer",1998,"hapl grac",1
"1998_6_exclosure_summer",1998,"pect papp",8
"1998_6_exclosure_summer",1998,"tide lanu",15
"1998_7_removal_summer",1998,"boer inte",5
"1998_7_removal_summer",1998,"bout barb",1
"1998_7_removal_summer",1998,"dale brac",22
"1998_7_removal_summer",1998,"erio aber",4
"1998_8_control_summer",1998,"boer inte",7
"1998_8_control_summer",1998,"boer torr",58
"1998_8_control_summer",1998,"bout aris",6
"1998_8_control_summer",1998,"bout barb",23
"1998_8_control_summer",1998,"erio aber",52
"1998_8_control_summer",1998,"euph micr",1
"1998_8_control_summer",1998,"euph serp",6
"1998_8_control_summer",1998,"euph serr",1
"1998_8_control_summer",1998,"hapl grac",1
"1998_8_control_summer",1998,"pect papp",6
"1998_8_control_summer",1998,"tide lanu",6
"1998_10_removal_summer",1998,"aris adsc",4
"1998_10_removal_summer",1998,"boer inte",44
"1998_10_removal_summer",1998,"boer torr",7
"1998_10_removal_summer",1998,"bout aris",16
"1998_10_removal_summer",1998,"bout barb",12
"1998_10_removal_summer",1998,"crot pumi",1
"1998_10_removal_summer",1998,"dale brac",227
"1998_10_removal_summer",1998,"erio aber",87
"1998_10_removal_summer",1998,"euph serp",1
"1998_10_removal_summer",1998,"pect papp",1
"1998_10_removal_summer",1998,"tide lanu",2
"1998_11_control_summer",1998,"boer inte",7
"1998_11_control_summer",1998,"boer torr",1
"1998_11_control_summer",1998,"bout aris",1
"1998_11_control_summer",1998,"crot pumi",1
"1998_11_control_summer",1998,"dale brac",2
"1998_11_control_summer",1998,"erio aber",29
"1998_11_control_summer",1998,"euph serp",1
"1998_11_control_summer",1998,"moll cerv",1
"1998_11_control_summer",1998,"tide lanu",3
"1998_12_control_summer",1998,"amar palm",3
"1998_12_control_summer",1998,"ambr arte",2
"1998_12_control_summer",1998,"boer inte",105
"1998_12_control_summer",1998,"boer torr",29
"1998_12_control_summer",1998,"bout aris",2
"1998_12_control_summer",1998,"crot pumi",1
"1998_12_control_summer",1998,"erio aber",15
"1998_12_control_summer",1998,"euph serp",5
"1998_12_control_summer",1998,"moll cerv",1
"1998_12_control_summer",1998,"pani ariz",1
"1998_12_control_summer",1998,"pect papp",4
